Wake Forest, WAKE, ACC, 55, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois, ILL, Big Ten, 58, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana, IND, Big Ten, 70, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa, IOW, Big Ten, 68, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland, MARY, Big Ten, 55, East, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan, MICH, Big Ten, 82, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State, MSU, Big Ten, 65, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota, MIN, Big Ten, 63, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska, NEB, Big Ten, 60, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern, NWU, Big Ten, 55, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State, OSU, Big Ten, 90, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon, ORE, Big Ten, 82, West, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn State, PSU, Big Ten, 80, East, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue, PUR, Big Ten, 55, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers, RUTG, Big Ten, 55, East, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA, UCLA, Big Ten, 65, West, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
USC, USC, Big Ten, 82, West, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington, WASH, Big Ten, 78, West, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin, WISC, Big Ten, 70, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona, ARIZ, Big 12, 58, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State, ASU, Big 12, 65, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor, BAY, Big 12, 65, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
BYU, BYU, Big 12, 65, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati, CINN, Big 12, 68, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado, COL, Big 12, 60, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston, HOU, Big 12, 58, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State, ISU, Big 12, 65, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas, KAN, Big 12, 55, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State, KSU, Big 12, 65, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State, OKST, Big 12, 72, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU, TCU, Big 12, 68, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech, TTU, Big 12, 58, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UCF, UCF, Big 12, 68, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah, UTAH, Big 12, 70, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia, WVU, Big 12, 68, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama, BAMA, SEC, 92, West, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas, ARK, SEC, 55, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn, AUB, SEC, 75, West, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida, FLA, SEC, 80, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia, UGA, SEC, 90, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky, UK, SEC, 65, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU, LSU, SEC, 82, West, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State, MSST, SEC, 60, West, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri, MIZ, SEC, 65, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma, OKL, SEC, 80, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss, MISS, SEC, 68, West, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina, SCAR, SEC, 63, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee, TENN, SEC, 75, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas, TEX, SEC, 82, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M, TAMU, SEC, 72, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt, VAND, SEC, 55, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army, ARMY, American, 55, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte, CHAR, American, 45, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carolina, ECU, American, 50, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Atlantic, FAU, American, 50, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis, MEMP, American, 60, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy, NAVY, American, 55, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
North Texas, NTEX, American, 50, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice, RICE, American, 50, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida, USF, American, 55, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple, TEMP, American, 50, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane, TULN, American, 60, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa, TULS, American, 45, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UAB, UAB, American, 50, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSA, UTSA, American, 55, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron, AKR, MAC, 40, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball State, BALL, MAC, 40, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Green, BGSU, MAC, 40, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo, BUFF, MAC, 45, East, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Michigan, CMU, MAC, 45, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Michigan, EMU, MAC, 40, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent State, KENT, MAC, 35, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami OH, MIOH, MAC, 40, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio, OHIO, MAC, 45, East, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo, TOL, MAC, 50, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Michigan, WMU, MAC, 45, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware, DEL, Conference USA, 45, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida International, FIU, Conference USA, 40, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville State, JVST, Conference USA, 40, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennesaw State, KSU, Conference USA, 35, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty, LIB, Conference USA, 55, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Tennessee, MTSU, Conference USA, 45, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri State, MOST, Conference USA, 40, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico State, NMSU, Conference USA, 40, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Houston, SHSU, Conference USA, 40, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kentucky, WKU, Conference USA, 45, A, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force, AFA, Mountain West, 55, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada, NEV, Mountain West, 40, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico, UNM, Mountain West, 40, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota State, NDSU, Mountain West, 65, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Illinois, NIU, Mountain West, 45, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose State, SJSU, Mountain West, 40, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV, UNLV, Mountain West, 50, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UTEP, UTEP, Mountain West, 40, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming, WYO, Mountain West, 45, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise State, BSU, Pac-12, 72, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado State, CSU, Pac-12, 50, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno State, FRES, Pac-12, 55, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii, HAW, Pac-12, 40, A, 5,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State, ORST, Pac-12, 55, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego State, SDSU, Pac-12, 60, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah State, USU, Pac-12, 50, A, 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington State, WSU, Pac-12, 55, A, 0,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian State, APP, Sun Belt, 55, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas State, ARST, Sun Belt, 40, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina, CCU, Sun Belt, 50, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Southern, GASO, Sun Belt, 50, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia State, GAST, Sun Belt, 40, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison, JMU, Sun Belt, 55, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana, ULL, Sun Belt, 50, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana-Monroe, ULM, Sun Belt, 35, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall, MARSH, Sun Belt, 50, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Dominion, ODU, Sun Belt, 45, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
South Alabama, USA, Sun Belt, 45, West, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Miss, USM, Sun Belt, 45, West, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas State, TXST, Sun Belt, 45, West, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy, TROY, Sun Belt, 50, East, 3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn, UCONN, Independent, 50, A, 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame, ND, Independent, 85, A, 2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_TEAMS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Bowl, Orange Bowl, Sugar Bowl, Fiesta Bowl, Peach Bowl, Cotton Bowl, Citrus Bowl, Gator Bowl, Alamo Bowl, Holiday Bowl, Sun Bowl, Liberty Bowl, Music City Bowl, Las Vegas Bowl, ReliaQuest Bowl, Texas Bowl, Pop-Tarts Bowl, Armed Forces Bowl, Birmingham Bowl, Independence Bowl, Hawaii Bowl, New Mexico Bowl, Frisco Bowl, Boca Raton Bowl, LA Bowl, Montgomery Bowl, Cure Bowl, Myrtle Beach Bowl, Camellia Bowl, Famous Idaho Potato Bowl, Potato Bowl, First Responder Bowl, Gasparilla Bowl, Arizona Bowl, Military Bowl, Fenway Bowl, Pinstripe Bowl, Duke Mayo Bowl, Guaranteed Rate Bowl, Quick Lane Bowl, Boston Bowl, Desert Bowl, Heart of Dallas Bowl
[END_BOWL_NAMES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
